ec,support_count,query_count,fallback_episodes
1.1.1.44,18,90,0
1.1.1.440,26,130,26
1.1.1.441,36,180,36
1.1.1.45,26,130,26
1.1.1.47,18,90,0
1.1.1.48,13,65,13
1.1.1.49,3,15,0
1.1.1.51,9,45,0
1.1.1.52,39,195,39
1.1.1.54,9,45,0
1.1.1.57,35,175,35
1.1.1.58,4,20,0
1.1.1.6,12,60,0
1.1.1.60,12,60,12
1.1.1.61,23,115,23
1.1.1.62,6,30,0
1.1.1.64,14,70,0
1.1.1.65,12,60,12
1.1.1.66,15,75,15
1.1.1.67,10,50,0
1.1.1.69,27,135,27
1.1.1.71,10,50,0
1.1.1.72,42,210,42
1.1.1.73,31,155,31
1.1.1.75,48,240,48
1.1.1.77,26,130,26
1.1.1.78,42,210,42
1.1.1.79,7,35,0
1.1.1.8,9,45,0
1.1.1.80,20,100,20
1.1.1.81,7,35,0
1.1.1.82,14,70,0
1.1.1.83,6,30,0
1.1.1.85,5,25,0
1.1.1.86,5,25,0
1.1.1.87,18,90,18
1.1.1.88,17,85,17
1.1.1.9,10,50,0
1.1.1.90,26,130,26
1.1.1.91,39,195,39
1.1.1.93,7,35,0
1.1.1.94,1,5,0
1.1.1.96,12,60,12
1.1.1.n11,28,140,28
1.1.1.n12,13,65,0
1.1.1.n5,42,210,42
1.1.2.-,26,130,26
1.1.2.10,27,135,27
1.1.2.3,21,105,21
1.1.2.4,12,60,12
1.1.2.6,18,90,18
1.1.2.7,18,90,0
1.1.2.8,34,170,34
1.1.3.-,13,65,0
1.1.3.10,15,75,15
1.1.3.13,12,60,0
1.1.3.15,9,45,0
1.1.3.16,31,155,31
1.1.3.17,34,170,34
1.1.3.21,14,70,0
1.1.3.29,27,135,27
1.1.3.37,20,100,20
1.1.3.4,14,70,0
1.1.3.42,44,220,44
1.1.3.43,33,165,33
1.1.3.44,49,245,49
1.1.3.45,43,215,43
1.1.3.46,41,205,41
1.1.3.47,37,185,37
1.1.3.6,16,80,16
1.1.3.8,18,90,0
1.1.3.9,24,120,24
1.1.5.-,11,55,0
1.1.5.12,23,115,23
1.1.5.13,11,55,11
1.1.5.14,47,235,47
1.1.5.2,23,115,23
1.1.5.3,6,30,0
1.1.5.4,6,30,0
1.1.5.5,13,65,0
1.1.5.8,40,200,40
1.1.5.9,16,80,16
1.1.7.1,14,70,14
1.1.9.1,20,100,20
1.1.98.2,12,60,0
1.1.98.3,18,90,18
1.1.98.6,18,90,18
1.1.98.7,22,110,22
1.1.99.-,8,40,0
1.1.99.1,5,25,0
1.1.99.14,6,30,0
1.1.99.18,36,180,36
1.1.99.2,14,70,0
1.1.99.24,14,70,0
1.1.99.28,34,170,34
1.1.99.29,28,140,28
1.1.99.31,23,115,23
1.1.99.32,42,210,42
1.1.99.35,47,235,47
