ec,support_count,query_count,fallback_episodes
1.-.-.-,4,20,0
1.1.-.-,6,30,0
1.1.1.-,4,20,0
1.1.1.100,12,60,0
1.1.1.101,21,105,21
1.1.1.102,10,50,0
1.1.1.103,7,35,0
1.1.1.104,17,85,0
1.1.1.105,6,30,0
1.1.1.107,16,80,16
1.1.1.108,10,50,0
1.1.1.110,22,110,22
1.1.1.112,16,80,16
1.1.1.116,34,170,34
1.1.1.119,33,165,33
1.1.1.12,14,70,0
1.1.1.120,21,105,21
1.1.1.122,11,55,0
1.1.1.124,38,190,38
1.1.1.127,17,85,17
1.1.1.130,7,35,0
1.1.1.132,16,80,0
1.1.1.135,37,185,37
1.1.1.136,20,100,20
1.1.1.14,18,90,0
1.1.1.140,27,135,27
1.1.1.141,22,110,0
1.1.1.144,24,120,24
1.1.1.145,10,50,0
1.1.1.146,3,15,0
1.1.1.149,15,75,0
1.1.1.15,48,240,48
1.1.1.153,14,70,0
1.1.1.156,20,100,20
1.1.1.157,14,70,0
1.1.1.159,10,50,0
1.1.1.16,14,70,14
1.1.1.162,38,190,38
1.1.1.163,19,95,19
1.1.1.17,9,45,0
1.1.1.170,19,95,0
1.1.1.173,41,205,41
1.1.1.175,28,140,28
1.1.1.176,42,210,42
1.1.1.178,18,90,18
1.1.1.179,13,65,0
1.1.1.181,19,95,19
1.1.1.183,38,190,38
1.1.1.184,11,55,0
1.1.1.188,11,55,11
1.1.1.19,13,65,0
1.1.1.190,29,145,29
1.1.1.191,34,170,34
1.1.1.192,20,100,20
1.1.1.193,9,45,0
1.1.1.195,5,25,0
1.1.1.196,13,65,0
1.1.1.197,13,65,0
1.1.1.198,27,135,27
1.1.1.2,7,35,0
1.1.1.20,11,55,0
1.1.1.200,41,205,41
1.1.1.201,9,45,0
1.1.1.202,19,95,19
1.1.1.203,21,105,21
1.1.1.205,3,15,0
1.1.1.208,23,115,23
1.1.1.209,3,15,0
1.1.1.210,3,15,0
1.1.1.211,15,75,15
1.1.1.212,36,180,36
1.1.1.215,20,100,20
1.1.1.216,20,100,20
1.1.1.218,20,100,20
1.1.1.219,14,70,0
1.1.1.22,5,25,0
1.1.1.223,31,155,31
1.1.1.225,19,95,19
1.1.1.226,44,220,44
1.1.1.23,5,25,0
1.1.1.232,13,65,0
1.1.1.233,34,170,34
1.1.1.236,18,90,18
1.1.1.237,18,90,18
1.1.1.239,9,45,0
1.1.1.24,13,65,13
1.1.1.243,27,135,27
1.1.1.244,34,170,34
1.1.1.245,17,85,17
1.1.1.247,10,50,10
1.1.1.248,23,115,23
1.1.1.25,2,10,0
1.1.1.250,14,70,14
1.1.1.251,25,125,25
1.1.1.252,11,55,11
1.1.1.255,21,105,0
1.1.1.256,43,215,43
1.1.1.257,17,85,17
1.1.1.26,5,25,0
1.1.1.261,4,20,0
1.1.1.262,6,30,0
1.1.1.263,12,60,12
1.1.1.264,27,135,27
1.1.1.265,33,165,33
1.1.1.266,32,160,32
1.1.1.267,3,15,0
1.1.1.268,28,140,28
1.1.1.27,3,15,0
1.1.1.270,10,50,0
1.1.1.271,10,50,0
1.1.1.272,17,85,17
1.1.1.274,39,195,39
1.1.1.276,23,115,23
1.1.1.28,7,35,0
1.1.1.281,31,155,31
1.1.1.282,9,45,0
1.1.1.283,14,70,14
1.1.1.284,7,35,0
1.1.1.285,18,90,0
1.1.1.286,24,120,24
1.1.1.287,47,235,47
1.1.1.288,37,185,37
1.1.1.289,22,110,22
1.1.1.29,17,85,17
1.1.1.290,7,35,0
1.1.1.291,48,240,48
1.1.1.292,25,125,25
1.1.1.294,22,110,22
1.1.1.295,38,190,38
1.1.1.298,6,30,0
1.1.1.299,17,85,0
1.1.1.3,5,25,0
1.1.1.30,14,70,0
1.1.1.300,4,20,0
1.1.1.301,34,170,34
1.1.1.302,12,60,0
1.1.1.303,33,165,33
1.1.1.304,9,45,0
1.1.1.305,10,50,0
1.1.1.306,37,185,37
1.1.1.307,10,50,0
1.1.1.308,17,85,17
1.1.1.309,27,135,27
1.1.1.31,12,60,0
1.1.1.310,25,125,25
1.1.1.312,45,225,45
1.1.1.313,15,75,15
1.1.1.315,16,80,0
1.1.1.316,40,200,40
1.1.1.317,36,180,36
1.1.1.318,10,50,10
1.1.1.319,20,100,20
1.1.1.320,9,45,9
1.1.1.324,42,210,42
1.1.1.325,31,155,31
1.1.1.326,39,195,39
1.1.1.327,36,180,36
1.1.1.329,14,70,0
1.1.1.330,8,40,0
1.1.1.331,21,105,21
1.1.1.332,9,45,0
1.1.1.333,15,75,15
1.1.1.334,43,215,43
1.1.1.335,48,240,48
1.1.1.336,6,30,0
1.1.1.337,27,135,27
1.1.1.338,25,125,25
1.1.1.339,38,190,38
1.1.1.34,5,25,0
1.1.1.340,27,135,27
1.1.1.341,20,100,20
1.1.1.342,23,115,23
1.1.1.343,17,85,17
1.1.1.344,44,220,44
1.1.1.345,22,110,22
1.1.1.346,25,125,25
1.1.1.347,20,100,20
1.1.1.349,22,110,22
1.1.1.35,8,40,0
1.1.1.350,25,125,25
1.1.1.352,26,130,26
1.1.1.353,42,210,42
1.1.1.354,42,210,42
1.1.1.356,26,130,26
1.1.1.357,13,65,0
1.1.1.36,17,85,0
1.1.1.360,38,190,38
1.1.1.361,37,185,37
1.1.1.362,38,190,38
1.1.1.363,12,60,12
1.1.1.364,19,95,19
1.1.1.365,22,110,22
1.1.1.366,48,240,48
1.1.1.367,34,170,34
1.1.1.368,37,185,37
1.1.1.369,9,45,0
1.1.1.37,2,10,0
1.1.1.371,27,135,27
1.1.1.372,13,65,0
1.1.1.373,16,80,16
1.1.1.374,28,140,28
1.1.1.375,46,230,46
1.1.1.376,25,125,25
1.1.1.377,32,160,32
1.1.1.378,25,125,25
1.1.1.381,9,45,0
1.1.1.382,28,140,28
1.1.1.383,20,100,20
1.1.1.384,19,95,19
1.1.1.385,21,105,21
1.1.1.386,34,170,34
1.1.1.387,35,175,35
1.1.1.388,45,225,45
1.1.1.389,40,200,40
1.1.1.39,12,60,0
1.1.1.390,30,150,30
1.1.1.391,29,145,29
1.1.1.392,41,205,41
1.1.1.393,39,195,39
1.1.1.394,34,170,34
