ec,support_count,query_count,fallback_episodes
1.-.-.-,4,20,0
1.1.-.-,7,35,0
1.1.1.-,8,40,0
1.1.1.100,10,50,0
1.1.1.101,23,115,23
1.1.1.102,8,40,0
1.1.1.103,12,60,0
1.1.1.104,14,70,0
1.1.1.105,4,20,0
1.1.1.107,22,110,22
1.1.1.108,7,35,0
1.1.1.110,25,125,25
1.1.1.112,14,70,14
1.1.1.116,39,195,39
1.1.1.119,33,165,33
1.1.1.12,19,95,19
1.1.1.120,41,205,41
1.1.1.122,17,85,17
1.1.1.124,39,195,39
1.1.1.127,13,65,13
1.1.1.130,11,55,0
1.1.1.132,18,90,0
1.1.1.135,50,250,50
1.1.1.136,35,175,35
1.1.1.14,12,60,0
1.1.1.140,22,110,22
1.1.1.141,15,75,0
1.1.1.144,27,135,27
1.1.1.145,14,70,0
1.1.1.146,15,75,0
1.1.1.149,10,50,0
1.1.1.15,37,185,37
1.1.1.153,9,45,0
1.1.1.156,28,140,28
1.1.1.157,11,55,0
1.1.1.159,10,50,10
1.1.1.16,53,265,53
1.1.1.162,36,180,36
1.1.1.169,11,55,0
1.1.1.170,24,120,0
1.1.1.176,38,190,38
1.1.1.178,22,110,22
1.1.1.179,10,50,0
1.1.1.18,7,35,0
1.1.1.181,12,60,12
1.1.1.183,45,225,45
1.1.1.188,15,75,15
1.1.1.189,11,55,0
1.1.1.19,8,40,0
1.1.1.190,39,195,39
1.1.1.193,5,25,0
1.1.1.194,34,170,34
1.1.1.195,9,45,0
1.1.1.196,10,50,0
1.1.1.197,14,70,0
1.1.1.20,16,80,0
1.1.1.200,35,175,35
1.1.1.201,15,75,0
1.1.1.202,25,125,25
1.1.1.203,16,80,16
1.1.1.205,3,15,0
1.1.1.206,41,205,41
1.1.1.208,25,125,25
1.1.1.209,8,40,0
1.1.1.21,11,55,0
1.1.1.210,7,35,0
1.1.1.212,45,225,45
1.1.1.215,25,125,25
1.1.1.218,24,120,24
1.1.1.219,4,20,0
1.1.1.22,3,15,0
1.1.1.223,44,220,44
1.1.1.225,25,125,25
1.1.1.226,35,175,35
1.1.1.23,2,10,0
1.1.1.232,18,90,0
1.1.1.233,36,180,36
1.1.1.234,10,50,0
1.1.1.236,22,110,22
1.1.1.237,25,125,25
1.1.1.239,6,30,0
1.1.1.24,15,75,15
1.1.1.244,36,180,36
1.1.1.245,23,115,23
1.1.1.247,10,50,10
1.1.1.248,38,190,38
1.1.1.25,4,20,0
1.1.1.250,17,85,17
1.1.1.252,26,130,26
1.1.1.255,12,60,0
1.1.1.256,33,165,33
1.1.1.257,18,90,18
1.1.1.26,10,50,0
1.1.1.261,8,40,0
1.1.1.262,4,20,0
1.1.1.263,8,40,8
1.1.1.264,31,155,31
1.1.1.265,35,175,35
1.1.1.266,30,150,30
1.1.1.267,5,25,0
1.1.1.268,38,190,38
1.1.1.27,8,40,0
1.1.1.270,5,25,0
1.1.1.271,12,60,0
1.1.1.272,18,90,18
1.1.1.274,37,185,37
1.1.1.276,35,175,35
1.1.1.281,18,90,18
1.1.1.282,18,90,0
1.1.1.283,23,115,23
1.1.1.284,11,55,0
1.1.1.285,25,125,25
1.1.1.286,35,175,35
1.1.1.287,43,215,43
1.1.1.288,46,230,46
1.1.1.289,29,145,29
1.1.1.29,18,90,18
1.1.1.290,8,40,0
1.1.1.291,45,225,45
1.1.1.292,26,130,26
1.1.1.294,19,95,19
1.1.1.295,34,170,34
1.1.1.298,6,30,0
1.1.1.299,15,75,0
1.1.1.3,7,35,0
1.1.1.30,8,40,0
1.1.1.300,9,45,0
1.1.1.301,42,210,42
1.1.1.302,14,70,0
1.1.1.303,31,155,31
1.1.1.304,6,30,6
1.1.1.305,6,30,0
1.1.1.306,40,200,40
1.1.1.307,13,65,0
1.1.1.308,28,140,28
1.1.1.309,40,200,40
1.1.1.31,14,70,0
1.1.1.310,27,135,27
1.1.1.311,37,185,37
1.1.1.312,25,125,25
1.1.1.313,17,85,17
1.1.1.315,15,75,0
1.1.1.316,39,195,39
1.1.1.317,30,150,30
1.1.1.318,29,145,29
1.1.1.320,18,90,18
1.1.1.324,37,185,37
1.1.1.325,39,195,39
1.1.1.326,43,215,43
1.1.1.327,49,245,49
1.1.1.328,40,200,40
1.1.1.329,13,65,0
1.1.1.330,8,40,0
1.1.1.331,13,65,13
1.1.1.332,16,80,16
1.1.1.334,43,215,43
1.1.1.335,37,185,37
1.1.1.337,16,80,16
1.1.1.338,43,215,43
1.1.1.339,41,205,41
1.1.1.34,11,55,0
1.1.1.340,25,125,25
1.1.1.341,20,100,20
1.1.1.342,45,225,45
1.1.1.343,32,160,32
1.1.1.344,37,185,37
1.1.1.345,27,135,27
1.1.1.346,14,70,14
1.1.1.347,31,155,31
1.1.1.348,41,205,41
1.1.1.349,25,125,25
1.1.1.35,4,20,0
1.1.1.350,23,115,23
1.1.1.352,24,120,24
1.1.1.353,40,200,40
1.1.1.355,32,160,32
1.1.1.356,47,235,47
1.1.1.358,25,125,25
1.1.1.36,11,55,0
1.1.1.360,37,185,37
1.1.1.361,36,180,36
1.1.1.362,42,210,42
1.1.1.363,19,95,19
1.1.1.365,32,160,32
1.1.1.366,38,190,38
1.1.1.369,17,85,17
1.1.1.37,2,10,0
1.1.1.370,35,175,35
1.1.1.371,29,145,29
1.1.1.372,20,100,0
1.1.1.373,42,210,42
1.1.1.374,21,105,21
1.1.1.375,38,190,38
1.1.1.376,45,225,45
1.1.1.377,36,180,36
1.1.1.378,29,145,29
1.1.1.38,9,45,0
1.1.1.382,15,75,15
1.1.1.383,21,105,21
1.1.1.384,19,95,19
1.1.1.385,25,125,25
1.1.1.386,35,175,35
1.1.1.387,43,215,43
1.1.1.388,24,120,24
1.1.1.389,38,190,38
1.1.1.390,39,195,39
1.1.1.391,31,155,31
1.1.1.394,26,130,26
1.1.1.395,32,160,32
1.1.1.398,31,155,31
1.1.1.399,5,25,0
1.1.1.4,14,70,0
1.1.1.40,5,25,0
1.1.1.400,41,205,41
1.1.1.401,23,115,23
1.1.1.402,31,155,31
1.1.1.404,38,190,38
1.1.1.405,17,85,0
1.1.1.406,33,165,33
1.1.1.408,13,65,0
1.1.1.41,9,45,0
1.1.1.410,30,150,30
1.1.1.412,24,120,24
1.1.1.413,36,180,36
1.1.1.414,41,205,41
1.1.1.415,40,200,40
1.1.1.417,34,170,34
1.1.1.418,21,105,21
1.1.1.42,6,30,0
1.1.1.420,33,165,33
1.1.1.421,9,45,9
1.1.1.424,19,95,19
1.1.1.425,46,230,46
1.1.1.427,56,280,56
1.1.1.432,32,160,32
1.1.1.433,27,135,27
1.1.1.438,46,230,46
1.1.1.441,12,60,12
1.1.1.45,16,80,0
1.1.1.47,12,60,0
1.1.1.48,15,75,15
1.1.1.49,8,40,0
1.1.1.50,13,65,13
1.1.1.51,9,45,0
1.1.1.52,32,160,32
1.1.1.53,2,10,0
1.1.1.54,10,50,0
1.1.1.56,21,105,21
1.1.1.57,22,110,22
1.1.1.58,7,35,0
1.1.1.6,9,45,0
1.1.1.60,41,205,41
1.1.1.61,19,95,19
1.1.1.62,8,40,0
1.1.1.64,14,70,0
1.1.1.65,13,65,13
1.1.1.66,14,70,14
1.1.1.67,11,55,11
1.1.1.71,16,80,0
1.1.1.72,41,205,41
1.1.1.73,44,220,44
1.1.1.76,40,200,40
1.1.1.78,42,210,42
1.1.1.79,5,25,0
1.1.1.8,6,30,0
1.1.1.80,18,90,18
1.1.1.81,3,15,0
1.1.1.82,9,45,0
1.1.1.83,7,35,0
1.1.1.86,5,25,0
1.1.1.87,29,145,29
1.1.1.88,23,115,23
1.1.1.9,7,35,0
1.1.1.90,18,90,18
1.1.1.91,38,190,38
1.1.1.93,10,50,0
1.1.1.94,5,25,0
1.1.1.95,5,25,0
1.1.1.96,12,60,0
1.1.1.n11,21,105,21
1.1.1.n12,12,60,0
1.1.1.n4,54,270,54
1.1.1.n5,33,165,33
1.1.2.-,21,105,21
1.1.2.10,24,120,24
1.1.2.3,16,80,16
1.1.2.6,38,190,38
1.1.2.7,9,45,0
1.1.2.8,23,115,23
1.1.3.-,5,25,0
1.1.3.10,8,40,0
1.1.3.12,37,185,37
1.1.3.13,22,110,22
1.1.3.15,3,15,0
1.1.3.16,12,60,12
1.1.3.17,19,95,19
1.1.3.37,13,65,0
1.1.3.38,41,205,41
1.1.3.4,16,80,16
1.1.3.41,19,95,19
