ec,support_count,query_count,fallback_episodes
1.-.-.-,4,20,0
1.1.-.-,10,50,0
1.1.1.-,9,45,0
1.1.1.100,10,50,0
1.1.1.102,8,40,0
1.1.1.103,9,45,0
1.1.1.104,36,180,36
1.1.1.105,5,25,0
1.1.1.107,25,125,25
1.1.1.108,11,55,0
1.1.1.112,26,130,26
1.1.1.12,16,80,16
1.1.1.120,29,145,29
1.1.1.122,15,75,15
1.1.1.130,6,30,0
1.1.1.132,33,165,33
1.1.1.133,15,75,15
1.1.1.135,52,260,52
1.1.1.136,32,160,32
1.1.1.138,20,100,20
1.1.1.14,20,100,0
1.1.1.141,41,205,41
1.1.1.145,15,75,0
1.1.1.146,26,130,0
1.1.1.15,45,225,45
1.1.1.153,20,100,20
1.1.1.157,33,165,33
1.1.1.159,18,90,18
1.1.1.16,30,150,30
1.1.1.162,42,210,42
1.1.1.163,21,105,21
1.1.1.169,11,55,0
1.1.1.17,10,50,0
1.1.1.170,28,140,28
1.1.1.173,46,230,46
1.1.1.175,43,215,43
1.1.1.178,48,240,48
1.1.1.179,12,60,0
1.1.1.18,6,30,0
1.1.1.184,8,40,0
1.1.1.188,54,270,54
1.1.1.189,24,120,24
1.1.1.19,26,130,26
1.1.1.192,23,115,23
1.1.1.193,12,60,0
1.1.1.195,13,65,0
1.1.1.197,27,135,27
1.1.1.198,33,165,33
1.1.1.2,12,60,0
1.1.1.20,30,150,30
1.1.1.203,24,120,24
1.1.1.205,8,40,0
1.1.1.206,38,190,38
1.1.1.208,24,120,24
1.1.1.209,9,45,0
1.1.1.210,11,55,0
1.1.1.211,28,140,28
1.1.1.215,27,135,27
1.1.1.219,32,160,32
1.1.1.22,13,65,0
1.1.1.223,43,215,43
1.1.1.225,30,150,30
1.1.1.23,11,55,0
1.1.1.232,29,145,29
1.1.1.234,23,115,23
1.1.1.236,48,240,48
1.1.1.239,14,70,0
1.1.1.24,20,100,20
1.1.1.245,25,125,25
1.1.1.247,17,85,17
1.1.1.248,43,215,43
1.1.1.25,3,15,0
1.1.1.250,41,205,41
1.1.1.251,27,135,27
1.1.1.252,51,255,51
1.1.1.255,40,200,40
1.1.1.256,38,190,38
1.1.1.257,35,175,35
1.1.1.26,15,75,0
1.1.1.261,7,35,0
1.1.1.262,6,30,0
1.1.1.263,17,85,17
1.1.1.267,3,15,0
1.1.1.269,23,115,23
1.1.1.27,3,15,0
1.1.1.270,17,85,0
1.1.1.271,15,75,0
1.1.1.276,31,155,31
1.1.1.28,11,55,0
1.1.1.281,27,135,27
1.1.1.282,8,40,0
1.1.1.284,13,65,0
1.1.1.285,31,155,31
1.1.1.286,23,115,23
1.1.1.288,68,340,68
1.1.1.289,40,200,40
1.1.1.29,31,155,31
1.1.1.290,9,45,0
1.1.1.292,56,280,56
1.1.1.294,22,110,22
1.1.1.295,57,285,57
1.1.1.298,8,40,0
1.1.1.299,24,120,24
1.1.1.3,13,65,0
1.1.1.30,19,95,19
1.1.1.300,8,40,0
1.1.1.301,43,215,43
1.1.1.304,11,55,0
1.1.1.305,9,45,0
1.1.1.307,12,60,0
1.1.1.308,50,250,50
1.1.1.31,10,50,0
1.1.1.311,29,145,29
1.1.1.312,53,265,53
1.1.1.315,52,260,52
1.1.1.318,33,165,33
1.1.1.319,40,200,40
1.1.1.320,28,140,28
1.1.1.324,34,170,34
1.1.1.325,50,250,50
1.1.1.328,38,190,38
1.1.1.329,28,140,28
1.1.1.330,9,45,0
1.1.1.331,21,105,21
1.1.1.332,24,120,24
1.1.1.333,22,110,22
1.1.1.336,11,55,0
1.1.1.34,12,60,0
1.1.1.340,52,260,52
1.1.1.345,51,255,51
1.1.1.347,33,165,33
1.1.1.35,6,30,0
1.1.1.352,35,175,35
1.1.1.354,53,265,53
1.1.1.357,19,95,0
1.1.1.358,15,75,15
1.1.1.359,52,260,52
1.1.1.36,50,250,50
1.1.1.360,57,285,57
1.1.1.363,58,290,58
1.1.1.364,49,245,49
1.1.1.367,41,205,41
1.1.1.369,14,70,0
1.1.1.37,7,35,0
1.1.1.372,30,150,30
1.1.1.374,51,255,51
1.1.1.375,42,210,42
1.1.1.376,44,220,44
1.1.1.377,47,235,47
1.1.1.38,10,50,0
1.1.1.381,22,110,0
1.1.1.382,24,120,24
1.1.1.383,42,210,42
1.1.1.384,19,95,19
1.1.1.385,33,165,33
1.1.1.387,52,260,52
1.1.1.39,32,160,32
1.1.1.393,47,235,47
1.1.1.397,42,210,42
1.1.1.398,63,315,63
1.1.1.399,15,75,0
1.1.1.4,43,215,43
1.1.1.40,12,60,0
1.1.1.403,53,265,53
1.1.1.405,27,135,27
1.1.1.407,52,260,52
1.1.1.408,8,40,0
1.1.1.409,44,220,44
