ec,support_count,query_count,fallback_episodes
1.-.-.-,12,20,0
1.1.-.-,18,30,0
1.1.1.-,12,20,0
1.1.1.100,36,60,0
1.1.1.101,63,105,21
1.1.1.102,30,50,0
1.1.1.103,18,30,0
1.1.1.104,54,90,18
1.1.1.105,18,30,0
1.1.1.107,48,80,16
1.1.1.108,30,50,0
1.1.1.110,63,105,21
1.1.1.112,57,95,19
1.1.1.116,105,175,35
1.1.1.119,96,160,32
1.1.1.12,42,70,14
1.1.1.120,57,95,19
1.1.1.122,33,55,11
1.1.1.124,123,205,41
1.1.1.127,45,75,15
1.1.1.130,21,35,0
1.1.1.132,51,85,17
1.1.1.135,117,195,39
1.1.1.136,54,90,18
1.1.1.14,51,85,0
1.1.1.140,90,150,30
1.1.1.141,72,120,24
1.1.1.144,60,100,20
1.1.1.145,24,40,0
1.1.1.146,18,30,0
1.1.1.149,42,70,14
1.1.1.15,144,240,48
1.1.1.153,39,65,0
1.1.1.156,69,115,23
1.1.1.157,36,60,0
1.1.1.159,30,50,10
1.1.1.16,42,70,14
1.1.1.162,111,185,37
1.1.1.163,69,115,23
1.1.1.17,15,25,0
1.1.1.170,63,105,0
1.1.1.173,123,205,41
1.1.1.175,81,135,27
1.1.1.176,123,205,41
1.1.1.178,57,95,19
1.1.1.179,39,65,0
1.1.1.181,57,95,19
1.1.1.183,120,200,40
1.1.1.184,21,35,0
1.1.1.188,54,90,18
1.1.1.19,30,50,10
1.1.1.190,99,165,33
1.1.1.191,93,155,31
1.1.1.192,66,110,22
1.1.1.193,15,25,0
1.1.1.195,33,55,0
1.1.1.196,30,50,10
1.1.1.197,39,65,13
1.1.1.198,81,135,27
1.1.1.2,21,35,0
1.1.1.20,36,60,12
1.1.1.200,123,205,41
1.1.1.201,27,45,0
1.1.1.202,45,75,15
1.1.1.203,66,110,22
1.1.1.205,9,15,0
1.1.1.208,66,110,22
1.1.1.209,9,15,0
1.1.1.210,21,35,0
1.1.1.211,39,65,13
1.1.1.212,111,185,37
1.1.1.215,63,105,21
1.1.1.216,69,115,23
1.1.1.218,54,90,18
1.1.1.219,33,55,0
1.1.1.22,21,35,0
1.1.1.223,87,145,29
1.1.1.225,72,120,24
1.1.1.226,126,210,42
1.1.1.23,15,25,0
1.1.1.232,24,40,8
1.1.1.233,105,175,35
1.1.1.236,63,105,21
1.1.1.237,54,90,18
1.1.1.239,24,40,0
1.1.1.24,42,70,14
1.1.1.243,72,120,24
1.1.1.244,126,210,42
1.1.1.245,27,45,9
1.1.1.247,36,60,12
1.1.1.248,57,95,19
1.1.1.25,12,20,0
1.1.1.250,45,75,15
1.1.1.251,66,110,22
1.1.1.252,60,100,20
1.1.1.255,39,65,13
1.1.1.256,126,210,42
1.1.1.257,51,85,17
1.1.1.26,15,25,0
1.1.1.261,27,45,0
1.1.1.262,3,5,0
1.1.1.263,48,80,16
1.1.1.264,69,115,23
1.1.1.265,105,175,35
1.1.1.266,90,150,30
1.1.1.267,6,10,0
1.1.1.268,96,160,32
1.1.1.27,12,20,0
1.1.1.270,33,55,0
1.1.1.271,27,45,0
1.1.1.272,51,85,17
1.1.1.274,123,205,41
1.1.1.276,54,90,18
1.1.1.28,33,55,0
1.1.1.281,93,155,31
1.1.1.282,21,35,0
1.1.1.283,42,70,14
1.1.1.284,21,35,0
1.1.1.285,60,100,20
1.1.1.286,72,120,24
1.1.1.287,129,215,43
1.1.1.288,117,195,39
1.1.1.289,78,130,26
1.1.1.29,48,80,16
1.1.1.290,12,20,0
1.1.1.291,147,245,49
1.1.1.292,75,125,25
1.1.1.294,63,105,21
1.1.1.295,111,185,37
1.1.1.298,36,60,0
1.1.1.299,30,50,10
1.1.1.3,39,65,0
1.1.1.30,18,30,0
1.1.1.300,9,15,0
1.1.1.301,114,190,38
1.1.1.302,27,45,0
1.1.1.303,105,175,35
1.1.1.304,48,80,0
1.1.1.305,12,20,0
1.1.1.306,123,205,41
1.1.1.307,9,15,0
1.1.1.308,45,75,15
1.1.1.309,105,175,35
1.1.1.31,33,55,0
1.1.1.310,75,125,25
1.1.1.312,126,210,42
1.1.1.313,57,95,19
1.1.1.315,48,80,16
1.1.1.316,105,175,35
1.1.1.317,105,175,35
1.1.1.318,30,50,10
1.1.1.319,60,100,20
1.1.1.320,48,80,16
1.1.1.324,114,190,38
1.1.1.325,93,155,31
1.1.1.326,120,200,40
1.1.1.327,105,175,35
1.1.1.329,45,75,15
1.1.1.330,30,50,0
1.1.1.331,48,80,16
1.1.1.332,33,55,0
1.1.1.333,45,75,15
1.1.1.334,135,225,45
1.1.1.335,138,230,46
1.1.1.336,18,30,0
1.1.1.337,81,135,27
1.1.1.338,75,125,25
1.1.1.339,114,190,38
1.1.1.34,36,60,0
1.1.1.340,60,100,20
1.1.1.341,66,110,22
1.1.1.342,66,110,22
1.1.1.343,48,80,16
1.1.1.344,150,250,50
1.1.1.345,51,85,17
1.1.1.346,78,130,26
1.1.1.347,60,100,20
1.1.1.349,72,120,24
1.1.1.35,27,45,0
1.1.1.350,63,105,21
1.1.1.352,99,165,33
1.1.1.353,105,175,35
1.1.1.354,120,200,40
1.1.1.356,93,155,31
1.1.1.357,39,65,0
1.1.1.36,45,75,0
1.1.1.360,117,195,39
1.1.1.361,105,175,35
1.1.1.362,117,195,39
1.1.1.363,45,75,15
1.1.1.364,84,140,28
1.1.1.365,84,140,28
1.1.1.366,117,195,39
1.1.1.367,120,200,40
1.1.1.368,99,165,33
1.1.1.369,36,60,12
1.1.1.37,21,35,0
1.1.1.371,72,120,24
1.1.1.372,24,40,0
1.1.1.373,72,120,24
1.1.1.374,93,155,31
1.1.1.375,105,175,35
1.1.1.376,84,140,28
1.1.1.377,96,160,32
1.1.1.378,81,135,27
1.1.1.381,54,90,0
1.1.1.382,75,125,25
1.1.1.383,48,80,16
1.1.1.384,51,85,17
1.1.1.385,45,75,15
1.1.1.386,102,170,34
1.1.1.387,138,230,46
1.1.1.388,111,185,37
1.1.1.389,126,210,42
1.1.1.39,30,50,10
1.1.1.390,108,180,36
1.1.1.391,90,150,30
1.1.1.392,99,165,33
1.1.1.393,114,190,38
1.1.1.394,93,155,31
1.1.1.395,51,85,17
1.1.1.397,99,165,33
1.1.1.399,24,40,0
1.1.1.4,54,90,18
1.1.1.40,42,70,0
1.1.1.400,114,190,38
1.1.1.401,39,65,13
1.1.1.402,126,210,42
1.1.1.403,72,120,24
1.1.1.404,117,195,39
1.1.1.405,45,75,15
1.1.1.406,96,160,32
1.1.1.407,102,170,34
1.1.1.408,24,40,0
1.1.1.41,18,30,0
1.1.1.410,72,120,24
1.1.1.412,48,80,16
1.1.1.414,126,210,42
1.1.1.415,135,225,45
1.1.1.417,93,155,31
1.1.1.418,75,125,25
1.1.1.419,120,200,40
1.1.1.42,15,25,0
1.1.1.420,72,120,24
1.1.1.421,42,70,14
1.1.1.424,63,105,21
1.1.1.425,102,170,34
1.1.1.427,99,165,33
1.1.1.429,78,130,26
1.1.1.432,96,160,32
1.1.1.433,72,120,24
1.1.1.435,159,265,53
1.1.1.436,45,75,15
1.1.1.437,111,185,37
1.1.1.438,129,215,43
1.1.1.439,99,165,33
1.1.1.44,27,45,0
1.1.1.440,51,85,17
1.1.1.441,36,60,12
1.1.1.45,42,70,14
1.1.1.47,15,25,0
1.1.1.48,45,75,15
1.1.1.49,9,15,0
1.1.1.50,45,75,15
1.1.1.51,24,40,0
1.1.1.52,120,200,40
1.1.1.53,15,25,0
1.1.1.54,15,25,0
1.1.1.56,39,65,13
1.1.1.58,15,25,0
1.1.1.6,33,55,0
1.1.1.60,72,120,24
1.1.1.61,36,60,12
1.1.1.62,21,35,0
1.1.1.64,45,75,15
1.1.1.65,48,80,16
1.1.1.66,39,65,13
1.1.1.67,21,35,0
1.1.1.69,72,120,24
1.1.1.71,48,80,16
1.1.1.72,105,175,35
1.1.1.73,138,230,46
1.1.1.75,114,190,38
1.1.1.76,108,180,36
1.1.1.77,75,125,25
1.1.1.78,81,135,27
1.1.1.8,24,40,0
1.1.1.80,54,90,18
1.1.1.81,12,20,0
1.1.1.83,27,45,0
1.1.1.85,15,25,0
1.1.1.86,21,35,0
1.1.1.87,45,75,15
1.1.1.88,36,60,12
1.1.1.9,21,35,0
1.1.1.90,81,135,27
1.1.1.94,9,15,0
